country,sex,suicide_rate
Ukraine,female,8.832871286201408
Ukraine,male,43.707486766265404
United Arab Emirates,female,1.0490102962501413
United Arab Emirates,male,1.9292981448988327
United Kingdom,female,3.674752574829326
United Kingdom,male,12.259767236382825
United States,female,5.197196904974961
United States,male,20.815927240936944
Uruguay,female,6.4823972456707875
Uruguay,male,25.434768643441373
Uzbekistan,female,3.7712549005441476
Uzbekistan,male,10.60399461606179
